Wavelength (nm),Air_n,Air_k,SiO2_n,SiO2_k,ITO_n,ITO_k,Al_n,Al_k,TCTA_n,TCTA_k,PEDOT_n,PEDOT_k,Irppy_n,Irppy_k,TPBi_n,TPBi_k,B3PyMPM_n,B3PyMPM_k,CBP_n,CBP_k,LiF_n,LiF_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,1,0,1.4538,0,2.04361,0.00309,0.51073,4.74868,1.85538659,0,1.5425,0.01261,1.88625,0.07688,1.80507,0,2.05E+00,0.00E+00,1.81E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,1,0,1.4538,0,2.04248,0.00301,0.51336,4.75995,1.8542132,0,1.54171,0.01277,1.88583,0.07617,1.80476,0,2.05E+00,0.00E+00,1.81E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,1,0,1.4538,0,2.04134,0.00293,0.51599,4.77122,1.853038345,0,1.54092,0.01292,1.88554,0.07534,1.80383,0,2.04E+00,0.00E+00,1.81E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,1,0,1.4538,0,2.0402,0.00285,0.51862,4.78248,1.85186349,0,1.54013,0.01307,1.88525,0.07451,1.8029,0,2.04E+00,0.00E+00,1.81E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,1,0,1.4538,0,2.03907,0.00277,0.52125,4.79375,1.8506882,0,1.53934,0.01322,1.88507,0.07352,1.80294,0,2.04E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,1,0,1.4538,0,2.03793,0.0027,0.52388,4.80502,1.84951291,0,1.53898,0.01337,1.88488,0.07253,1.80299,0,2.04E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,1,0,1.4537,0,2.03688,0.00262,0.52651,4.81629,1.84834565,0,1.53898,0.01352,1.88476,0.07136,1.80299,0,2.04E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1,0,1.4537,0,2.03584,0.00254,0.52914,4.82756,1.84717839,0,1.53898,0.01367,1.88464,0.0702,1.80299,0,2.04E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,1,0,1.4536,0,2.0348,0.00246,0.53177,4.83883,1.84603271,0,1.53898,0.01382,1.88454,0.06885,1.80163,0,2.04E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,1,0,1.4536,0,2.03375,0.00239,0.5344,4.8501,1.84488703,0,1.5385,0.01397,1.88444,0.06751,1.80028,0,2.04E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,1,0,1.4536,0,2.03271,0.00231,0.53675,4.86034,1.84377718,0,1.53771,0.01412,1.88431,0.06601,1.79951,0,2.04E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,1,0,1.4535,0,2.03167,0.00223,0.53911,4.87059,1.84266733,0,1.53692,0.01427,1.88417,0.06451,1.79874,0,2.04E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,1,0,1.4535,0,2.03063,0.00215,0.54147,4.88083,1.84160402,0,1.53613,0.01442,1.88392,0.06289,1.79875,0,2.03E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,1,0,1.4535,0,2.02958,0.00207,0.54382,4.89107,1.84054071,0,1.53534,0.01457,1.88367,0.06127,1.79876,0,2.03E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,1,0,1.4534,0,2.02854,0.002,0.54618,4.90131,1.839528285,0,1.53455,0.01472,1.88325,0.05961,1.79813,0,2.03E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,1,0,1.4534,0,2.0275,0.00197,0.54853,4.91155,1.83851586,0,1.53376,0.01488,1.88283,0.05794,1.7975,0,2.03E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1,0,1.4534,0,2.02646,0.00197,0.55089,4.9218,1.837551575,0,1.53297,0.01503,1.88219,0.05629,1.79627,0,2.03E+00,0.00E+00,1.80E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1,0,1.4534,0,2.02541,0.00197,0.55324,4.93204,1.83658729,0,1.53218,0.01518,1.88155,0.05465,1.79503,0,2.03E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1,0,1.4534,0,2.02437,0.00197,0.5556,4.94228,1.83566332,0,1.53139,0.01533,1.88067,0.0531,1.79402,0,2.03E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,1,0,1.4533,0,2.02333,0.00197,0.55795,4.95252,1.83473935,0,1.5306,0.01548,1.87979,0.05156,1.79301,0,2.03E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,1,0,1.4533,0,2.02229,0.00197,0.56079,4.96359,1.833845835,0,1.52981,0.01563,1.8787,0.05019,1.79255,0,2.03E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,1,0,1.4533,0,2.02124,0.00197,0.56362,4.97466,1.83295232,0,1.52902,0.01578,1.87762,0.04881,1.79208,0,2.03E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,1,0,1.4533,0,2.0202,0.00197,0.56646,4.98573,1.83208053,0,1.52823,0.01593,1.87641,0.04765,1.79142,0,2.03E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,1,0,1.4532,0,2.01916,0.00197,0.56929,4.99679,1.83120874,0,1.52744,0.01608,1.87519,0.04648,1.79076,0,2.03E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,1,0,1.4532,0,2.01812,0.00197,0.57213,5.00786,1.83035306,0,1.52701,0.01623,1.87397,0.04552,1.78983,0,2.02E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,1,0,1.4532,0,2.01707,0.00197,0.57497,5.01893,1.82949738,0,1.52701,0.01638,1.87275,0.04456,1.78889,0,2.02E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,1,0,1.4531,0,2.01603,0.00197,0.5778,5.03,1.82865622,0,1.52701,0.01653,1.87163,0.04378,1.78888,0,2.02E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,1,0,1.4531,0,2.01499,0.00197,0.58064,5.04106,1.82781506,0,1.52701,0.01668,1.87052,0.04299,1.78887,0,2.02E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,1,0,1.4531,0,2.01395,0.00197,0.58347,5.05213,1.826990405,0,1.52616,0.01683,1.86961,0.04231,1.78717,0,2.02E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,1,0,1.4531,0,2.0129,0.00197,0.58631,5.0632,1.82616575,0,1.52452,0.01699,1.8687,0.04162,1.78547,0,2.02E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,1,0,1.453,0,2.01186,0.00197,0.5892,5.07373,1.82536195,0,1.52288,0.01714,1.86804,0.04095,1.78468,0,2.02E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,1,0,1.453,0,2.01082,0.00197,0.59208,5.08425,1.82455815,0,1.52124,0.01729,1.86737,0.04028,1.78389,0,2.02E+00,0.00E+00,1.79E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,1,0,1.453,0,2.00978,0.00197,0.59497,5.09478,1.82377965,0,1.52102,0.01744,1.86694,0.03954,1.7839,0,2.02E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,1,0,1.4529,0,2.00873,0.00197,0.59786,5.10531,1.82300115,0,1.52102,0.01759,1.8665,0.0388,1.78392,0,2.02E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,1,0,1.4529,0,2.00769,0.00197,0.60075,5.11584,1.82225096,0,1.52102,0.01774,1.86623,0.03791,1.78236,0,2.02E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,1,0,1.4529,0,2.00665,0.00197,0.60364,5.12636,1.82150077,0,1.52102,0.01789,1.86595,0.03703,1.7808,0,2.02E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,1,0,1.4529,0,2.00561,0.00197,0.60652,5.13689,1.82078057,0,1.52028,0.01804,1.86573,0.03596,1.78056,0,2.02E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,1,0,1.4529,0,2.00456,0.00197,0.60941,5.14742,1.82006037,0,1.51949,0.01819,1.86551,0.03489,1.78031,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,1,0,1.4529,0,2.00352,0.00197,0.6123,5.15794,1.819370795,0,1.5187,0.01834,1.86523,0.03363,1.77986,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,1,0,1.4529,0,2.00248,0.00197,0.61519,5.16847,1.81868122,0,1.51791,0.01849,1.86496,0.03237,1.77941,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,1,0,1.4529,0,2.00144,0.00197,0.61821,5.1791,1.81802243,0,1.51712,0.01864,1.86455,0.03092,1.77883,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,1,0,1.4529,0,2.00039,0.00197,0.62123,5.18973,1.81736364,0,1.51633,0.01879,1.86414,0.02948,1.77826,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,1,0,1.4529,0,1.99935,0.00197,0.62426,5.20036,1.81673541,0,1.51554,0.01894,1.86355,0.02791,1.77769,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,1,0,1.4528,0,1.99831,0.00197,0.62728,5.21099,1.81610718,0,1.51503,0.0191,1.86296,0.02633,1.77712,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,1,0,1.4528,0,1.99727,0.00197,0.6303,5.22162,1.81550878,0,1.51503,0.01925,1.86218,0.02469,1.77541,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,1,0,1.4527,0,1.99622,0.00197,0.63332,5.23225,1.81491038,0,1.51503,0.0194,1.8614,0.02304,1.7737,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,1,0,1.4526,0,1.99518,0.00195,0.63634,5.24288,1.81434005,0,1.51503,0.01955,1.86044,0.0214,1.77453,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,1,0,1.4526,0,1.99414,0.00191,0.63937,5.25351,1.81376972,0,1.5147,0.0197,1.85948,0.01975,1.77535,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1,0,1.4525,0,1.9931,0.00187,0.64239,5.26414,1.81322361,0,1.51391,0.01985,1.85836,0.01818,1.77527,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1,0,1.4525,0,1.99205,0.00183,0.64541,5.27477,1.8126775,0,1.51312,0.02,1.85724,0.01661,1.77519,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,1,0,1.4525,0,1.99101,0.00178,0.64843,5.28526,1.812148885,0,1.51233,0.0202,1.85598,0.01516,1.77458,0,2.01E+00,0.00E+00,1.78E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,1,0,1.4525,0,1.98997,0.00174,0.65145,5.29574,1.81162027,0,1.51154,0.02041,1.85472,0.01372,1.77398,0,2.01E+00,0.00E+00,1.77E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,1,0,1.4525,0,1.98893,0.0017,0.65447,5.30623,1.811100685,0,1.51075,0.02061,1.85334,0.01245,1.77343,0,2.00E+00,0.00E+00,1.77E+00,0.00E+00,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
