Wavelength (nm),Air_n,Air_k,SiO2_n,SiO2_k,ITO_n,ITO_k,Al_n,Al_k,TCTA_n,TCTA_k,PEDOT_n,PEDOT_k,Irppy_n,Irppy_k,TPBi_n,TPBi_k,B3PyMPM_n,B3PyMPM_k,CBP_n,CBP_k,LiF_n,LiF_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1,0,1.4599,0,2.34078,0.04259,0.23068,3.16638,1.93769096,0.204259701,1.67115,0.0174,2.02545,0.19814,1.95676,0.55433,2.56E+00,3.69E-01,1.85E+00,3.07E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1,0,1.4598,0,2.33674,0.04172,0.23204,3.17765,1.925932835,0.204747025,1.66951,0.01716,2.01483,0.1883,1.9727,0.54832,2.56E+00,3.56E-01,1.85E+00,3.17E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1,0,1.4598,0,2.33269,0.04085,0.2334,3.18893,1.91417471,0.205234349,1.66787,0.01693,2.00421,0.17846,1.98864,0.5423,2.57E+00,3.43E-01,1.85E+00,3.26E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,1,0,1.4597,0,2.32865,0.03998,0.23476,3.2002,1.90376278,0.209485826,1.66539,0.01669,1.9932,0.17084,2.00208,0.53649,2.57E+00,3.30E-01,1.85E+00,3.33E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,1,0,1.4596,0,2.32461,0.03911,0.23611,3.21147,1.89335085,0.213737303,1.66283,0.01646,1.98218,0.16321,2.01553,0.53068,2.57E+00,3.17E-01,1.86E+00,3.41E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,1,0,1.4596,0,2.32056,0.03824,0.23747,3.22274,1.88523737,0.220846167,1.66027,0.01622,1.9713,0.15753,2.0317,0.51892,2.57E+00,3.01E-01,1.86E+00,3.47E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1,0,1.4596,0,2.31652,0.03737,0.23883,3.23401,1.87712389,0.22795503,1.65808,0.01599,1.96042,0.15185,2.04787,0.50716,2.57E+00,2.85E-01,1.87E+00,3.53E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,1,0,1.4595,0,2.31248,0.03652,0.24018,3.24529,1.871800515,0.236898295,1.65644,0.01575,1.95004,0.14783,2.05933,0.49908,2.57E+00,2.69E-01,1.87E+00,3.58E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,1,0,1.4595,0,2.30843,0.03572,0.24154,3.25656,1.86647714,0.24584156,1.6548,0.01552,1.93966,0.14382,2.07078,0.491,2.56E+00,2.54E-01,1.88E+00,3.62E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,1,0,1.4594,0,2.30439,0.03492,0.2429,3.26783,1.864071135,0.255671271,1.65316,0.01528,1.92997,0.14123,2.08146,0.48024,2.56E+00,2.42E-01,1.89E+00,3.68E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1,0,1.4594,0,2.30035,0.03413,0.24426,3.2791,1.86166513,0.265500981,1.65152,0.01505,1.92028,0.13864,2.09213,0.46948,2.56E+00,2.30E-01,1.90E+00,3.74E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1,0,1.4593,0,2.29681,0.03333,0.24577,3.29026,1.862064755,0.275445217,1.64988,0.01481,1.91136,0.13729,2.10375,0.45582,2.55E+00,2.17E-01,1.90E+00,3.77E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
