# Wavelength (nm),Intensity (norm)
4.630000000000000000e+02,5.732246719598052022e-03
4.640000000000000000e+02,6.104883716399807717e-03
4.650000000000000000e+02,6.465702520988473971e-03
4.660000000000000000e+02,6.860414259796315979e-03
4.670000000000000000e+02,7.230751804305770962e-03
4.680000000000000000e+02,7.591216592498357257e-03
4.690000000000000000e+02,7.961362240269751617e-03
4.700000000000000000e+02,8.428680425918648467e-03
4.710000000000000000e+02,8.916627510909264434e-03
4.720000000000000000e+02,9.537162007643259359e-03
4.730000000000000000e+02,1.031048104780171726e-02
4.740000000000000000e+02,1.138634845546682671e-02
4.750000000000000000e+02,1.257788989341022783e-02
4.760000000000000000e+02,1.412325583069636188e-02
4.770000000000000000e+02,1.601218971753223461e-02
4.780000000000000000e+02,1.846143561099497857e-02
4.790000000000000000e+02,2.138461185615864873e-02
4.800000000000000000e+02,2.517565764203216760e-02
4.810000000000000000e+02,2.942374355809266803e-02
4.820000000000000000e+02,3.474058843109885386e-02
4.830000000000000000e+02,4.063758677173467254e-02
4.840000000000000000e+02,4.810461805190877765e-02
4.850000000000000000e+02,5.755047360644322679e-02
4.860000000000000000e+02,6.985528617017942865e-02
4.870000000000000000e+02,8.513626660158234161e-02
4.880000000000000000e+02,1.043190966422676141e-01
4.890000000000000000e+02,1.283329948892472649e-01
4.900000000000000000e+02,1.574542512882755874e-01
4.910000000000000000e+02,1.923873915531978951e-01
4.920000000000000000e+02,2.328431809798517105e-01
4.930000000000000000e+02,2.782168454182575856e-01
4.940000000000000000e+02,3.279333911070446139e-01
4.950000000000000000e+02,3.827846600844408975e-01
4.960000000000000000e+02,4.414221708121303100e-01
4.970000000000000000e+02,5.021726267455456361e-01
4.980000000000000000e+02,5.636656370325872079e-01
4.990000000000000000e+02,6.253924073236688530e-01
5.000000000000000000e+02,6.855789548409010337e-01
5.010000000000000000e+02,7.427852649561935694e-01
5.020000000000000000e+02,7.958534277892310715e-01
5.030000000000000000e+02,8.431722667472651978e-01
5.040000000000000000e+02,8.846820010335426643e-01
5.050000000000000000e+02,9.200220765286311053e-01
5.060000000000000000e+02,9.488856966682704952e-01
5.070000000000000000e+02,9.706276649163214643e-01
5.080000000000000000e+02,9.860565150186592076e-01
5.090000000000000000e+02,9.957561093436612110e-01
5.100000000000000000e+02,1.000000000000000000e+00
5.110000000000000000e+02,9.993272331963041211e-01
5.120000000000000000e+02,9.939466041635611759e-01
5.130000000000000000e+02,9.848936422916694244e-01
5.140000000000000000e+02,9.734935781822778855e-01
5.150000000000000000e+02,9.609042505815662549e-01
5.160000000000000000e+02,9.464322637864970300e-01
5.170000000000000000e+02,9.311021826043834881e-01
5.180000000000000000e+02,9.159484280560336034e-01
5.190000000000000000e+02,9.017738795506788918e-01
5.200000000000000000e+02,8.882022904477032688e-01
5.210000000000000000e+02,8.766817251125017529e-01
5.220000000000000000e+02,8.666338746021253758e-01
5.230000000000000000e+02,8.573560544188446597e-01
5.240000000000000000e+02,8.490959817458294534e-01
5.250000000000000000e+02,8.427871266854092269e-01
5.260000000000000000e+02,8.375921196982504258e-01
5.270000000000000000e+02,8.328035417308969901e-01
5.280000000000000000e+02,8.285304778075260890e-01
5.290000000000000000e+02,8.252562215172304372e-01
5.300000000000000000e+02,8.223817324522213479e-01
5.310000000000000000e+02,8.195515996565021499e-01
5.320000000000000000e+02,8.165842673101973981e-01
5.330000000000000000e+02,8.130787192049409029e-01
5.340000000000000000e+02,8.086114772883197244e-01
5.350000000000000000e+02,8.024740058663759612e-01
5.360000000000000000e+02,7.949790238337336445e-01
5.370000000000000000e+02,7.867443096529406210e-01
5.380000000000000000e+02,7.774139842061309480e-01
5.390000000000000000e+02,7.668172428536068619e-01
5.400000000000000000e+02,7.552566306543101460e-01
5.410000000000000000e+02,7.423909287394507839e-01
5.420000000000000000e+02,7.274400636345464966e-01
5.430000000000000000e+02,7.100664955944744339e-01
5.440000000000000000e+02,6.915593604370227077e-01
5.450000000000000000e+02,6.726623870561970753e-01
5.460000000000000000e+02,6.529920301182062792e-01
5.470000000000000000e+02,6.327873731072893859e-01
5.480000000000000000e+02,6.128519736883897284e-01
5.490000000000000000e+02,5.936876104001785892e-01
5.500000000000000000e+02,5.748604692349031930e-01
5.510000000000000000e+02,5.565581788824865983e-01
5.520000000000000000e+02,5.386581371786934858e-01
5.530000000000000000e+02,5.208720655944871769e-01
5.540000000000000000e+02,5.033675197592762940e-01
5.550000000000000000e+02,4.861921214954627035e-01
5.560000000000000000e+02,4.700555396803281494e-01
5.570000000000000000e+02,4.555437905577064406e-01
5.580000000000000000e+02,4.419451986059773629e-01
5.590000000000000000e+02,4.288918630383484754e-01
5.600000000000000000e+02,4.161735328554742597e-01
5.610000000000000000e+02,4.037327052072252065e-01
5.620000000000000000e+02,3.918851891874208238e-01
5.630000000000000000e+02,3.803948839826730155e-01
5.640000000000000000e+02,3.696531017818181497e-01
5.650000000000000000e+02,3.598030554513284018e-01
5.660000000000000000e+02,3.506720991353900474e-01
5.670000000000000000e+02,3.419243093226135288e-01
5.680000000000000000e+02,3.336145932943180847e-01
5.690000000000000000e+02,3.261427778299501035e-01
5.700000000000000000e+02,3.192734651860672512e-01
5.710000000000000000e+02,3.122148464100858445e-01
5.720000000000000000e+02,3.049721655766579054e-01
5.730000000000000000e+02,2.980216888839857248e-01
5.740000000000000000e+02,2.915499482328771652e-01
5.750000000000000000e+02,2.852379285305611800e-01
5.760000000000000000e+02,2.792369271207421622e-01
5.770000000000000000e+02,2.733925035234888168e-01
5.780000000000000000e+02,2.674981669229524739e-01
5.790000000000000000e+02,2.619134424750221846e-01
5.800000000000000000e+02,2.567115454023977117e-01
5.810000000000000000e+02,2.513552905639530044e-01
5.820000000000000000e+02,2.457431050310930620e-01
5.830000000000000000e+02,2.399942261580081670e-01
5.840000000000000000e+02,2.342439179850810682e-01
5.850000000000000000e+02,2.286803584239333054e-01
5.860000000000000000e+02,2.231054041668219523e-01
5.870000000000000000e+02,2.173034112543493213e-01
5.880000000000000000e+02,2.116100385127489547e-01
5.890000000000000000e+02,2.058455068212540762e-01
5.900000000000000000e+02,1.996281120621895833e-01
5.910000000000000000e+02,1.930343002714399459e-01
